Time :	24.11.2021	 || 	15:34
ADC_CH : 0	VCM [V]=0.6	Fs [MHz]=0.5
ADC Test results :  
N sample	VIN_DIF [mV]	ADC_OUT_0	ADC_OUT_1	ADC_OUT_2	ADC_OUT_3	ADC_OUT_4	ADC_OUT_5	ADC_OUT_6	ADC_OUT_7	ADC_OUT_8	ADC_OUT_9
0	-1200	0	0	0	0	0	0	0	0	0	0
1	-1176	0	0	0	0	0	0	0	0	0	0
2	-1152	0	0	0	0	0	0	0	0	0	0
3	-1128	0	0	0	0	0	0	0	0	0	0
4	-1103	0	0	0	0	0	0	0	0	0	0
5	-1079	0	0	0	0	0	0	0	0	0	0
6	-1055	0	0	0	0	0	0	0	0	0	0
7	-1031	0	0	0	0	0	0	0	0	0	0
8	-1007	0	0	0	0	0	0	0	0	0	0
9	-983	0	0	0	0	0	0	0	0	0	0
10	-959	0	0	0	0	0	0	0	0	0	0
11	-935	0	0	0	0	0	0	0	0	0	0
12	-911	0	0	0	0	0	0	0	0	0	0
13	-887	0	0	0	0	0	0	0	0	0	0
14	-863	0	0	0	0	0	0	0	0	0	0
15	-839	0	0	0	0	0	0	0	0	0	0
16	-815	0	0	0	0	0	0	0	0	0	0
17	-791	0	0	0	0	0	0	0	0	0	0
18	-767	0	0	0	0	0	0	0	0	0	0
19	-743	0	0	0	0	0	0	0	0	0	0
20	-719	0	0	0	0	0	0	0	0	0	0
21	-695	0	0	0	0	0	0	0	0	0	0
22	-671	0	0	0	0	0	0	0	0	0	0
23	-647	0	0	0	0	0	0	0	0	0	0
24	-623	0	0	0	0	0	0	0	0	0	0
25	-599	0	0	0	0	0	0	0	0	0	0
26	-575	0	0	0	0	0	0	0	0	0	0
27	-551	0	0	0	0	0	0	0	0	0	0
28	-527	0	0	0	0	0	0	0	0	0	0
29	-503	0	0	0	0	0	0	0	0	0	0
30	-479	0	0	0	0	0	0	0	0	0	0
31	-455	0	0	0	0	0	0	0	0	0	0
32	-431	0	0	0	0	0	0	0	0	0	0
33	-407	0	0	0	0	0	0	0	0	0	0
34	-383	0	0	0	0	0	0	0	0	0	0
35	-359	0	0	0	0	0	0	0	0	0	0
36	-335	0	0	0	0	0	0	0	0	0	0
37	-311	0	0	0	0	0	0	0	0	0	0
38	-287	0	0	0	0	0	0	0	0	0	0
39	-263	0	0	0	0	0	0	0	0	0	0
40	-239	0	0	0	0	0	0	0	0	0	0
41	-215	0	0	0	0	0	0	0	0	0	0
42	-191	0	0	0	0	0	0	0	0	0	0
43	-167	0	0	0	0	0	0	0	0	0	0
44	-143	0	0	0	0	0	0	0	0	0	0
45	-119	0	0	0	0	0	0	0	0	0	0
46	-95	0	0	0	0	0	0	0	0	0	0
47	-71	0	0	0	0	0	0	0	0	0	0
48	-47	0	0	0	0	0	0	0	0	0	0
49	-23	0	0	0	0	0	0	0	0	0	0
50	0	0	0	0	0	0	0	0	0	0	0
51	24	0	0	0	0	0	0	0	0	0	0
52	48	0	0	0	0	0	0	0	0	0	0
53	72	0	0	0	0	0	0	0	0	0	0
54	96	0	0	0	0	0	0	0	0	0	0
55	120	0	0	0	0	0	0	0	0	0	0
56	144	0	0	0	0	0	0	0	0	0	0
57	168	0	0	0	0	0	0	0	0	0	0
58	192	0	0	0	0	0	0	0	0	0	0
59	216	0	0	0	0	0	0	0	0	0	0
60	240	0	0	0	0	0	0	0	0	0	0
61	264	0	0	0	0	0	0	0	0	0	0
62	288	0	0	0	0	0	0	0	0	0	0
63	312	0	0	0	0	0	0	0	0	0	0
64	336	0	0	0	0	0	0	0	0	0	0
65	360	0	0	0	0	0	0	0	0	0	0
66	384	0	0	0	0	0	0	0	0	0	0
67	408	0	0	0	0	0	0	0	0	0	0
68	432	0	0	0	0	0	0	0	0	0	0
69	456	0	0	0	0	0	0	0	0	0	0
70	480	0	0	0	0	0	0	0	0	0	0
71	504	0	0	0	0	0	0	0	0	0	0
72	528	0	0	0	0	0	0	0	0	0	0
73	552	0	0	0	0	0	0	0	0	0	0
74	576	0	0	0	0	0	0	0	0	0	0
75	600	0	0	0	0	0	0	0	0	0	0
76	624	0	0	0	0	0	0	0	0	0	0
77	648	0	0	0	0	0	0	0	0	0	0
78	672	0	0	0	0	0	0	0	0	0	0
79	696	0	0	0	0	0	0	0	0	0	0
80	720	0	0	0	0	0	0	0	0	0	0
81	744	0	0	0	0	0	0	0	0	0	0
82	768	0	0	0	0	0	0	0	0	0	0
83	792	0	0	0	0	0	0	0	0	0	0
84	816	0	0	0	0	0	0	0	0	0	0
85	840	0	0	0	0	0	0	0	0	0	0
86	864	0	0	0	0	0	0	0	0	0	0
87	888	0	0	0	0	0	0	0	0	0	0
88	912	0	0	0	0	0	0	0	0	0	0
89	936	0	0	0	0	0	0	0	0	0	0
90	960	0	0	0	0	0	0	0	0	0	0
91	984	0	0	0	0	0	0	0	0	0	0
92	1008	0	0	0	0	0	0	0	0	0	0
93	1032	0	0	0	0	0	0	0	0	0	0
94	1056	0	0	0	0	0	0	0	0	0	0
95	1080	0	0	0	0	0	0	0	0	0	0
96	1104	0	0	0	0	0	0	0	0	0	0
97	1128	0	0	0	0	0	0	0	0	0	0
98	1152	0	0	0	0	0	0	0	0	0	0
99	1176	0	0	0	0	0	0	0	0	0	0
100	1200	0	0	0	0	0	0	0	0	0	0
