Time :	6.12.2021	 || 	10:37
ADC_CH : 3	VCM [V]=0.6	Fs [MHz]=1
PCB:A1.0	||||	ADC Test results :  
data Integrity : OK
N sample	VIN_DIF [uV]	ADC_OUT_0	ADC_OUT_1	ADC_OUT_2
0	-1008000	27	26	26
1	-1007015	27	27	29
2	-1006030	30	29	28
3	-1005045	29	30	31
4	-1004060	31	31	31
5	-1003075	31	31	33
6	-1002090	32	32	33
7	-1001106	32	34	35
8	-1000121	33	35	36
9	-999136	35	36	37
10	-998151	37	37	37
11	-997166	38	39	38
12	-996181	38	38	40
13	-995196	39	39	40
14	-994212	40	42	43
15	-993227	41	43	44
16	-992242	43	42	42
17	-991257	43	43	43
18	-990272	44	45	46
19	-989287	45	45	46
20	-988302	47	48	48
21	-987318	49	48	48
22	-986333	50	50	49
23	-985348	50	51	50
24	-984363	52	52	51
25	-983378	51	51	50
26	-982393	53	54	54
27	-981408	53	53	52
28	-980424	55	56	55
29	-979439	54	55	56
30	-978454	56	56	56
31	-977469	58	58	58
32	-976484	58	58	57
33	-975499	60	59	59
34	-974514	61	62	62
35	-973530	60	61	62
36	-972545	63	63	63
37	-971560	62	63	64
38	-970575	63	65	65
39	-969590	65	66	66
40	-968605	67	67	66
41	-967620	67	66	66
42	-966636	68	67	68
43	-965651	69	69	68
44	-964666	69	69	69
45	-963681	72	72	72
46	-962696	71	71	71
47	-961711	74	73	73
48	-960726	74	74	73
49	-959742	75	75	74
50	-958757	75	75	76
51	-957772	78	77	76
52	-956787	78	79	79
53	-955802	79	79	78
54	-954817	79	79	79
55	-953832	80	81	82
56	-952848	81	81	82
57	-951863	82	82	82
58	-950878	84	85	85
59	-949893	84	85	86
60	-948908	85	84	85
61	-947923	87	86	86
62	-946938	89	88	88
63	-945954	89	89	88
64	-944969	89	89	89
65	-943984	91	91	91
66	-942999	91	91	91
67	-942014	93	92	92
68	-941029	94	94	94
69	-940044	95	95	94
70	-939060	95	95	95
71	-938075	97	98	97
72	-937090	97	97	97
73	-936105	97	98	98
74	-935120	99	99	100
75	-934135	100	100	101
76	-933150	100	102	102
77	-932166	103	102	102
78	-931181	102	102	102
79	-930196	103	104	104
80	-929211	106	105	105
81	-928226	105	105	107
82	-927241	105	106	106
83	-926256	107	107	107
84	-925272	108	108	109
85	-924287	109	109	109
86	-923302	110	109	110
87	-922317	111	111	111
88	-921332	113	112	112
89	-920347	113	112	113
90	-919362	115	115	114
91	-918378	115	116	116
92	-917393	117	116	116
