Time :	6.12.2021	 || 	8:59
ADC_CH : 1	VCM [V]=0.6	Fs [MHz]=1
PCB:A1.1	||||	ADC Test results :  
N sample	VIN_DIF [uV]	ADC_OUT_0	ADC_OUT_1	ADC_OUT_2
0	-1008000	14	15	14
1	-1007015	15	15	14
2	-1006030	16	16	16
3	-1005045	16	15	16
4	-1004060	17	17	16
5	-1003075	19	19	18
6	-1002090	18	19	20
7	-1001106	20	19	20
8	-1000121	22	22	22
9	-999136	21	21	22
10	-998151	22	23	24
11	-997166	24	25	25
12	-996181	25	24	24
13	-995196	27	27	27
14	-994212	28	27	26
15	-993227	27	27	29
16	-992242	28	29	30
17	-991257	29	29	29
18	-990272	31	30	30
19	-989287	31	31	32
20	-988302	34	33	32
21	-987318	34	35	35
22	-986333	36	35	34
23	-985348	37	36	36
24	-984363	37	36	37
25	-983378	38	40	39
26	-982393	40	39	39
27	-981408	39	40	41
28	-980424	42	42	42
29	-979439	41	41	41
30	-978454	44	43	43
31	-977469	44	45	46
32	-976484	46	47	46
33	-975499	45	46	47
34	-974514	47	48	48
35	-973530	47	47	48
36	-972545	50	49	48
37	-971560	49	49	50
38	-970575	50	50	50
39	-969590	52	52	51
40	-968605	52	52	53
41	-967620	52	53	54
42	-966636	55	56	56
43	-965651	55	56	54
44	-964666	57	58	58
45	-963681	59	59	58
46	-962696	59	59	58
47	-961711	59	60	61
48	-960726	61	60	60
49	-959742	61	61	62
50	-958757	62	62	62
51	-957772	63	64	64
52	-956787	64	65	64
53	-955802	64	64	66
54	-954817	66	66	66
55	-953832	68	68	67
56	-952848	67	68	69
57	-951863	70	70	69
58	-950878	72	72	71
59	-949893	72	71	71
60	-948908	74	74	74
61	-947923	73	74	75
62	-946938	75	76	75
63	-945954	75	76	76
64	-944969	78	78	77
65	-943984	78	78	78
66	-942999	79	79	79
67	-942014	81	80	79
68	-941029	80	82	82
69	-940044	81	81	81
70	-939060	83	82	82
71	-938075	84	83	83
72	-937090	83	84	86
73	-936105	87	87	87
74	-935120	86	86	85
75	-934135	86	88	88
76	-933150	89	88	88
77	-932166	90	90	90
78	-931181	89	89	90
79	-930196	90	90	91
80	-929211	91	91	92
81	-928226	94	94	92
82	-927241	95	95	95
83	-926256	95	96	97
84	-925272	96	96	95
85	-924287	97	96	97
86	-923302	99	98	98
87	-922317	98	99	100
88	-921332	99	100	101
89	-920347	102	102	101
90	-919362	103	104	104
91	-918378	104	104	103
92	-917393	104	103	104
93	-916408	105	106	106
94	-915423	105	106	107
95	-914438	106	107	108
96	-913453	109	109	109
97	-912468	110	110	110
98	-911484	111	112	111
99	-910499	111	111	111
100	-909514	113	112	112
101	-908529	114	113	113
102	-907544	114	114	114
103	-906559	116	115	115
104	-905574	116	117	118
105	-904590	116	117	117
106	-903605	119	117	118
107	-902620	120	119	118
108	-901635	119	120	122
109	-900650	121	121	120
110	-899665	121	121	122
111	-898680	123	123	122
112	-897696	124	124	126
113	-896711	124	125	125
114	-895726	127	126	126
115	-894741	126	128	128
116	-893756	128	128	128
117	-892771	131	131	131
118	-891787	129	129	130
119	-890802	131	130	130
120	-889817	133	133	132
121	-888832	134	132	132
122	-887847	133	133	134
123	-886862	135	135	135
124	-885877	136	137	137
125	-884893	137	138	138
126	-883908	139	139	137
127	-882923	139	139	140
128	-881938	140	140	140
129	-880953	140	141	142
130	-879968	143	143	143
131	-878983	142	143	144
132	-877999	145	145	144
133	-877014	145	145	146
134	-876029	146	145	146
135	-875044	147	147	148
136	-874059	148	148	147
137	-873074	150	149	149
138	-872089	150	149	150
139	-871105	152	152	153
140	-870120	153	153	153
141	-869135	155	155	155
142	-868150	154	153	153
143	-867165	156	155	155
144	-866180	155	155	157
145	-865195	157	157	157
