Time :	14.12.2021	 || 	9:34
ADC_CH : 2	VCM [V]=0.6	Fs [MHz]=2
PCB:A1.1	||||	ADC Test results :  
data Integrity : OK
N sample	VIN_DIF [uV]	ADC_OUT_0	ADC_OUT_1	ADC_OUT_2	ADC_OUT_3	ADC_OUT_4	ADC_OUT_5	ADC_OUT_6	ADC_OUT_7	ADC_OUT_8	ADC_OUT_9	ADC_OUT_10	ADC_OUT_11	ADC_OUT_12	ADC_OUT_13	ADC_OUT_14	ADC_OUT_15	ADC_OUT_16	ADC_OUT_17	ADC_OUT_18	ADC_OUT_19	ADC_OUT_20	ADC_OUT_21	ADC_OUT_22	ADC_OUT_23	ADC_OUT_24	ADC_OUT_25	ADC_OUT_26	ADC_OUT_27	ADC_OUT_28	ADC_OUT_29	ADC_OUT_30	ADC_OUT_31	ADC_OUT_32	ADC_OUT_33	ADC_OUT_34	ADC_OUT_35	ADC_OUT_36	ADC_OUT_37	ADC_OUT_38	ADC_OUT_39	ADC_OUT_40	ADC_OUT_41	ADC_OUT_42	ADC_OUT_43	ADC_OUT_44	ADC_OUT_45	ADC_OUT_46	ADC_OUT_47	ADC_OUT_48	ADC_OUT_49	ADC_OUT_50	ADC_OUT_51	ADC_OUT_52	ADC_OUT_53	ADC_OUT_54	ADC_OUT_55	ADC_OUT_56	ADC_OUT_57	ADC_OUT_58	ADC_OUT_59	ADC_OUT_60	ADC_OUT_61	ADC_OUT_62	ADC_OUT_63
0	-1008000	6	5	7	7	7	7	5	6	7	7	7	7	7	6	6	7	5	5	5	5	7	6	6	7	7	7	7	5	5	4	5	4	5	5	5	6	7	7	7	7	6	7	6	5	5	7	4	6	6	7	7	7	7	7	7	7	6	6	6	6	5	7	7	6
1	-1007507	7	7	7	7	6	6	6	6	6	6	7	7	7	8	8	7	7	7	7	7	7	6	7	7	7	0	8	7	7	7	7	7	6	7	6	6	6	7	8	8	8	7	7	7	7	7	7	6	6	7	7	7	8	8	8	8	8	7	6	7	6	7	7	7
2	-1007015	6	6	6	7	7	0	8	8	0	7	7	7	6	6	6	6	6	7	7	7	8	8	7	7	7	7	7	7	6	7	6	7	8	8	9	8	8	0	7	8	7	6	6	6	7	7	8	8	8	8	7	7	7	7	6	6	6	6	6	7	8	8	8	8
3	-1006523	8	9	0	7	7	7	7	6	7	0	7	8	8	8	9	8	8	7	6	7	7	7	7	8	8	9	8	8	8	7	7	7	7	7	6	7	0	8	8	9	8	8	9	7	8	8	7	7	7	5	6	7	7	8	8	9	8	8	8	7	7	7	7	7
4	-1006030	7	7	7	7	7	7	8	8	8	9	10	9	9	9	9	8	7	7	7	7	8	8	8	9	9	9	9	8	8	8	0	7	7	7	7	7	8	9	9	9	9	8	8	8	7	7	7	7	7	8	9	9	10	8	9	8	8	7	7	7	7	7	8	8
5	-1005538	7	7	8	9	9	10	10	10	9	8	8	8	8	8	8	8	8	8	10	9	10	9	8	8	8	7	8	7	8	8	8	9	8	9	9	9	9	8	8	8	0	7	8	8	8	9	9	8	9	9	8	8	8	0	0	7	0	8	9	9	8	10	9	9
6	-1005046	8	9	10	11	10	10	8	8	8	9	9	8	8	8	8	9	8	10	11	11	11	9	9	8	8	8	8	8	8	8	10	10	10	10	9	8	8	8	8	0	8	8	9	10	10	10	10	8	9	8	8	8	8	8	8	9	9	10	10	11	8	9	9	8
7	-1004553	8	8	8	7	8	8	9	9	10	11	11	10	9	8	8	8	8	8	8	8	9	10	11	11	11	10	9	9	8	8	8	8	9	10	10	10	11	10	11	10	9	8	8	8	8	8	8	9	10	11	10	10	10	8	8	9	9	9	8	8	8	8	8	10
8	-1004061	9	11	11	11	3	15	11	10	10	8	9	9	9	9	10	8	11	11	11	11	10	8	8	9	8	9	9	9	11	11	15	3	11	10	9	9	9	9	9	9	9	10	11	11	12	15	11	11	11	11	9	9	8	9	9	9	9	10	11	11	11	11	11	11
9	-1003569	15	11	11	11	11	11	10	9	8	9	9	9	9	10	11	11	11	11	11	10	9	9	8	9	9	9	10	11	11	11	11	11	11	10	10	9	9	8	9	10	10	11	11	11	11	10	10	10	9	9	9	9	10	10	11	15	15	11	11	10	10	8	9	8
10	-1003076	11	15	12	12	12	12	12	12	8	11	10	11	11	11	3	15	8	12	12	12	12	8	15	11	10	11	10	10	10	11	11	12	12	12	11	12	15	11	11	11	10	11	11	11	12	12	12	8	8	12	11	11	11	10	10	8	11	12	12	12	12	12	11	15
11	-1002584	11	8	11	11	11	11	10	10	8	10	11	11	8	12	12	8	15	15	11	11	11	8	8	10	11	11	12	12	12	12	11	11	10	11	8	10	11	11	11	12	8	12	12	12	0	11	15	11	11	10	11	10	11	11	15	12	11	8	11	15	11	11	10	10
12	-1002092	12	12	4	12	11	11	11	11	11	11	11	11	12	12	12	13	12	12	11	11	11	11	11	11	11	12	12	12	13	12	12	8	12	11	11	11	11	11	11	12	12	13	12	12	11	15	11	10	11	11	11	12	12	12	12	12	12	11	11	11	11	11	11	11
13	-1001599	12	12	12	12	15	11	11	11	15	11	12	13	13	12	13	12	12	12	12	8	12	4	12	12	12	13	13	13	12	12	12	12	15	11	11	11	12	13	15	15	13	13	12	11	11	11	15	11	11	15	12	13	13	15	13	12	12	8	4	12	15	3	15	11
14	-1001107	3	8	12	12	15	14	15	12	12	12	11	12	3	15	4	12	12	15	15	15	13	13	12	8	15	11	11	15	12	12	13	14	13	15	13	12	12	12	11	12	12	0	3	12	13	14	13	13	13	12	8	11	11	11	12	11	12	12	15	15	15	13	12	12
15	-1000615	13	15	14	12	12	12	12	12	12	12	13	14	14	15	14	14	14	14	13	12	12	12	8	12	12	14	15	14	14	15	13	12	12	8	3	12	12	14	14	15	15	14	15	13	13	13	12	12	12	11	12	13	14	14	15	14	14	13	12	12	12	12	12	12
16	-1000123	14	14	15	15	13	12	12	12	13	14	15	15	15	15	14	15	13	15	13	12	13	15	14	14	15	15	14	15	14	15	13	12	12	13	12	13	14	15	15	15	15	14	14	15	13	13	12	13	12	13	12	13	14	15	15	15	14	15	15	14	14	13	13	13
17	-999630	15	14	14	15	15	14	15	14	15	14	15	16	15	15	15	15	15	14	14	14	14	14	14	15	14	15	15	15	15	15	15	14	14	13	13	13	12	13	14	14	15	15	15	15	15	14	13	14	13	15	14	15	15	15	15	16	15	15	15	15	15	13	13	13
18	-999138	14	14	14	14	14	14	15	15	23	23	16	16	23	15	14	14	14	14	14	14	15	15	23	16	15	15	15	15	13	15	14	14	14	14	15	23	16	16	15	15	15	14	15	14	14	15	15	14	23	16	16	16	16	15	15	14	14	15	15	14	15	15	16	16
19	-998646	23	16	15	15	15	15	14	15	15	16	16	16	16	16	16	15	15	14	15	14	14	15	16	16	16	16	16	23	15	15	15	14	15	15	15	16	16	16	16	16	16	16	23	15	15	14	15	15	15	23	16	16	16	16	16	15	15	15	14	14	14	23	23	16
20	-998153	16	16	16	15	23	15	15	15	15	15	15	16	16	17	16	16	16	15	15	15	15	15	23	16	16	17	16	17	16	16	16	16	23	15	15	15	15	15	15	23	16	17	16	16	16	16	15	15	15	14	14	15	23	16	17	16	17	16	16	23	15	15	14	15
21	-997661	17	17	16	16	15	15	15	15	15	15	15	16	16	17	16	17	16	17	16	16	15	15	15	15	23	16	17	17	17	17	16	16	16	15	15	15	15	16	16	17	16	16	17	17	16	16	16	16	15	16	15	16	16	17	17	16	17	17	16	16	15	15	15	16
22	-997169	15	16	16	17	17	18	18	17	17	17	17	16	16	16	16	16	23	16	16	17	18	18	18	18	17	16	16	16	16	15	16	16	16	17	17	17	17	17	17	16	16	16	23	15	16	16	17	17	18	18	17	17	16	16	16	16	23	16	16	17	17	18	18	19
23	-996676	16	16	16	23	23	23	16	16	18	18	18	17	17	17	16	16	16	15	16	16	17	18	18	18	16	17	17	16	16	16	16	16	16	16	17	17	19	18	18	17	17	16	16	16	16	16	16	17	17	17	18	18	18	17	17	16	16	16	16	16	16	16	16	16
24	-996184	18	19	23	23	19	19	19	19	18	16	17	16	17	16	16	16	19	19	19	19	18	18	18	17	16	16	16	17	16	17	19	19	19	19	18	16	18	16	16	16	17	17	17	19	18	19	19	19	19	18	17	17	17	17	18	17	17	19	19	19	19	18	18	17
25	-995692	19	19	19	19	16	16	17	18	17	17	17	17	17	19	19	20	23	19	18	17	16	17	17	17	17	17	18	19	20	19	19	19	19	18	18	18	18	17	17	17	18	19	19	19	19	19	18	18	17	17	17	17	17	17	18	23	20	4	23	19	19	16	17	17
26	-995199	19	18	18	17	18	17	17	17	18	19	19	0	19	20	19	23	19	19	18	17	18	18	18	19	23	20	20	20	19	18	18	18	17	17	16	18	19	19	20	20	20	23	19	19	18	16	16	17	17	18	18	23	20	19	19	19	19	18	16	16	17	17	17	19
27	-994707	17	18	19	19	20	20	20	20	19	20	19	19	19	19	18	19	19	20	19	20	20	16	19	3	19	19	19	19	18	19	18	19	20	20	20	19	19	19	19	19	19	16	19	19	19	20	20	20	20	19	19	19	18	19	19	18	18	19	19	20	16	20	20	20
28	-994215	19	20	20	20	20	20	20	20	23	19	19	19	19	18	19	19	16	20	20	20	20	20	19	19	19	18	19	18	19	3	20	21	20	20	20	20	19	19	18	18	19	19	19	23	20	20	20	20	16	23	19	19	19	19	19	19	19	21	20	20	20	20	20	19
29	-993723	16	19	19	19	19	19	19	19	20	20	20	22	20	20	20	23	19	19	19	19	19	20	20	22	23	21	20	20	0	19	19	19	19	23	19	20	21	20	21	20	20	20	19	20	19	19	19	19	20	20	21	23	21	20	20	19	19	19	20	19	19	3	20	20
30	-993230	19	23	20	20	20	16	20	22	23	21	21	21	20	20	19	20	20	19	20	20	22	22	22	21	20	20	23	20	23	4	19	20	20	20	21	23	22	20	20	20	20	19	0	3	20	16	20	23	22	23	21	20	20	20	16	16	20	20	19	20	20	22	22	22
31	-992738	20	20	20	21	22	22	22	22	23	23	20	20	20	20	20	20	20	21	22	22	22	23	23	23	20	20	20	20	21	20	21	23	23	23	22	22	21	20	20	20	20	21	21	21	22	22	22	22	22	23	21	20	20	20	19	20	20	21	23	22	22	22	21	22
32	-992246	22	23	23	22	22	22	22	22	21	20	20	20	20	23	22	23	23	23	23	22	21	21	20	21	21	21	22	22	23	23	23	22	23	22	21	21	20	20	20	20	21	22	23	23	23	22	23	21	21	20	20	20	21	21	22	23	23	23	23	22	23	21	23	23
33	-991753	21	22	23	23	23	24	23	23	22	22	23	23	23	22	23	23	23	23	23	23	23	22	22	22	21	20	21	23	22	23	23	23	23	23	23	22	22	23	21	20	21	23	22	22	23	23	23	22	23	22	22	22	22	21	23	23	22	23	23	23	23	23	23	22
34	-991261	21	23	23	23	24	24	24	24	23	23	23	22	23	21	21	22	21	21	23	23	24	23	23	23	23	23	23	22	22	21	23	22	23	23	16	23	23	23	23	22	22	23	21	23	22	23	23	23	23	23	23	22	23	21	22	23	21	22	23	23	24	24	16	23
35	-990769	23	23	23	16	24	24	24	23	23	23	23	23	23	23	23	23	23	24	24	16	23	23	16	22	23	22	22	22	22	23	16	16	23	24	24	23	23	23	22	22	22	22	23	16	24	24	25	24	16	23	22	22	22	23	22	23	23	23	24	24	24	24	24	23
36	-990276	23	23	23	22	23	23	23	23	23	24	24	25	24	24	23	23	23	23	23	23	23	23	23	24	24	24	24	24	24	23	23	22	23	22	22	23	24	24	24	24	24	24	16	23	23	23	23	23	23	16	24	25	24	24	24	24	23	23	23	23	23	22	23	23
37	-989784	23	23	23	23	23	24	25	25	25	24	24	24	23	23	23	16	24	24	25	24	26	25	25	25	24	24	23	23	23	23	23	23	25	25	25	25	25	24	24	23	16	23	23	23	23	23	24	24	24	25	25	16	24	23	23	23	23	23	23	23	23	25	25	25
38	-989292	24	24	16	23	23	23	23	24	25	25	25	25	25	25	24	23	24	16	23	23	24	24	25	25	25	25	24	24	16	23	16	23	16	16	24	24	27	26	26	26	24	24	23	23	23	23	16	24	25	25	26	24	25	25	24	24	24	23	16	16	24	24	26	24
39	-988799	24	24	24	16	24	16	24	24	24	26	26	26	26	25	24	24	24	24	24	24	24	24	27	26	27	26	26	25	24	24	25	25	16	24	24	24	24	24	26	27	26	25	25	25	25	24	24	24	24	24	24	25	26	26	26	25	25	25	25	24	24	24	24	24
40	-988307	24	25	24	24	24	24	24	25	25	27	26	27	24	25	24	24	24	24	24	24	25	25	26	27	27	27	27	26	24	25	24	24	24	24	25	26	27	27	26	27	26	24	25	25	24	24	24	24	25	24	27	27	27	24	25	25	24	24	24	24	24	25	25	27
41	-987815	24	25	25	25	24	24	24	24	27	27	27	27	27	27	25	26	25	25	24	25	26	27	27	28	36	27	26	26	25	24	24	24	25	25	25	27	27	31	27	27	27	24	24	25	25	25	24	25	26	27	31	27	35	27	26	24	24	25	25	24	25	25	26	27
42	-987323	26	27	27	27	26	26	24	25	25	24	26	27	27	28	24	27	36	27	27	26	25	25	25	25	26	27	27	28	27	27	27	26	25	26	25	25	24	26	27	31	24	27	31	31	27	27	27	26	25	25	25	24	26	27	35	28	27	35	31	26	26	26	24	25
43	-986830	39	27	27	26	27	27	26	27	26	27	27	28	28	28	28	39	28	27	26	27	26	27	31	24	28	28	28	28	27	27	35	36	27	27	25	26	26	27	28	36	28	28	28	28	31	31	27	27	26	27	27	27	27	27	28	28	28	36	27	27	26	27	26	27
44	-986338	24	24	27	31	27	27	27	26	27	35	36	28	28	28	28	27	27	28	27	35	27	27	39	27	28	24	29	28	24	28	35	27	27	27	27	26	27	27	28	29	29	28	29	28	31	27	26	27	26	27	27	36	28	29	28	28	28	35	27	27	27	27	26	27
45	-985846	29	29	28	29	28	28	28	31	27	31	39	31	28	28	29	29	29	29	29	28	39	31	27	27	27	31	27	28	29	31	28	29	28	28	27	27	27	27	31	28	28	28	29	31	29	28	28	28	27	28	27	27	31	27	28	28	31	31	31	29	28	28	28	36
46	-985353	29	30	31	30	30	30	29	28	27	27	35	39	31	24	28	30	30	30	31	31	30	29	28	29	28	24	24	28	28	29	30	30	31	29	28	28	28	28	27	27	28	28	29	31	31	30	29	28	28	28	28	28	27	28	28	29	31	29	30	30	29	28	28	27
