Time :	16.12.2021	 || 	16:35
ADC_CH : 3	VCM [V]=0.6	Fs [MHz]=2.5
PCB:A1.1	||||	ADC Test results :  
data Integrity : OK
N sample	VIN_DIF [uV]	ADC_OUT_0	ADC_OUT_1	ADC_OUT_2	ADC_OUT_3	ADC_OUT_4	ADC_OUT_5	ADC_OUT_6	ADC_OUT_7	ADC_OUT_8	ADC_OUT_9	ADC_OUT_10	ADC_OUT_11	ADC_OUT_12	ADC_OUT_13	ADC_OUT_14	ADC_OUT_15	ADC_OUT_16	ADC_OUT_17	ADC_OUT_18	ADC_OUT_19	ADC_OUT_20	ADC_OUT_21	ADC_OUT_22	ADC_OUT_23	ADC_OUT_24	ADC_OUT_25	ADC_OUT_26	ADC_OUT_27	ADC_OUT_28	ADC_OUT_29	ADC_OUT_30	ADC_OUT_31	ADC_OUT_32	ADC_OUT_33	ADC_OUT_34	ADC_OUT_35	ADC_OUT_36	ADC_OUT_37	ADC_OUT_38	ADC_OUT_39	ADC_OUT_40	ADC_OUT_41	ADC_OUT_42	ADC_OUT_43	ADC_OUT_44	ADC_OUT_45	ADC_OUT_46	ADC_OUT_47	ADC_OUT_48	ADC_OUT_49	ADC_OUT_50	ADC_OUT_51	ADC_OUT_52	ADC_OUT_53	ADC_OUT_54	ADC_OUT_55	ADC_OUT_56	ADC_OUT_57	ADC_OUT_58	ADC_OUT_59	ADC_OUT_60	ADC_OUT_61	ADC_OUT_62	ADC_OUT_63
0	-1008000	25	26	25	25	25	25	25	26	27	27	27	27	27	27	26	26	27	25	25	25	26	25	25	26	26	26	26	27	27	27	27	26	27	27	26	26	26	25	25	25	25	25	25	25	26	26	27	27	27	27	26	27	27	27	27	26	27	26	25	25	25	25	25	27
1	-1007507	27	27	28	27	27	27	26	25	25	26	26	26	26	27	27	28	27	28	28	27	28	27	27	26	26	27	29	26	26	26	27	26	27	28	27	28	27	27	28	28	27	26	26	26	26	26	25	25	25	25	26	26	27	27	28	27	28	28	27	27	26	27	26	26
2	-1007015	27	26	26	26	27	26	27	27	28	28	28	28	28	28	28	28	28	27	27	27	27	26	26	26	26	27	27	27	28	29	29	28	28	29	27	27	27	27	26	26	26	26	26	26	27	27	28	29	28	28	28	28	27	27	27	27	27	26	26	27	26	26	26	27
3	-1006523	27	27	27	27	27	28	28	29	29	29	29	29	29	28	28	27	27	27	27	27	27	27	28	27	28	29	28	29	29	29	29	28	28	28	3	27	27	27	27	27	26	27	28	28	28	28	29	29	29	29	28	29	28	27	27	27	27	26	27	27	27	27	28	29
4	-1006030	30	29	28	28	28	27	27	28	28	28	27	28	29	29	29	30	30	30	30	29	29	29	28	28	28	28	27	27	28	27	27	28	29	29	30	29	30	29	30	28	28	28	28	27	27	27	27	27	27	28	28	29	29	29	30	29	29	29	29	29	29	28	27	28
5	-1005538	28	28	29	29	30	30	30	29	30	29	29	29	28	28	28	28	27	28	28	29	29	29	30	30	30	30	30	30	30	30	30	28	28	28	27	27	27	27	28	29	29	29	30	29	29	29	29	29	29	29	29	28	28	28	27	28	28	28	29	30	30	29	30	28
6	-1005046	28	28	28	29	29	31	30	30	30	30	31	29	30	30	29	29	29	29	28	28	28	28	29	30	31	30	30	30	30	30	30	30	29	30	29	29	28	29	29	28	29	30	29	30	31	30	30	31	31	31	31	30	30	29	29	28	28	28	29	28	29	30	30	31
7	-1004553	30	30	30	30	30	30	30	29	29	29	29	29	30	29	29	29	29	29	30	31	31	31	31	31	30	30	29	29	29	28	29	28	28	28	29	29	29	29	30	31	31	31	31	30	30	30	30	29	29	29	29	28	28	28	29	29	30	31	31	30	30	30	30	30
8	-1004061	31	31	31	31	31	30	31	31	31	31	31	30	30	30	30	29	30	30	30	30	31	31	31	31	31	30	31	31	30	29	30	29	29	29	29	29	29	30	30	31	31	31	31	30	31	31	31	30	30	29	29	29	29	29	29	29	30	31	30	31	31	31	30	30
9	-1003569	30	30	30	31	31	31	31	31	31	31	31	30	30	29	29	29	30	29	29	30	30	31	31	32	32	32	31	31	31	31	30	30	30	29	29	30	30	30	30	30	30	31	31	31	31	30	31	31	30	30	31	29	29	29	29	29	29	29	30	30	31	31	32	31
10	-1003076	30	30	30	30	31	31	32	32	32	32	32	32	32	31	31	32	31	31	31	31	30	30	30	31	31	32	32	32	32	32	32	32	31	31	31	31	31	30	30	28	30	30	31	31	32	32	33	32	32	32	32	31	31	31	30	30	30	30	30	30	30	30	32	32
11	-1002584	32	32	32	32	32	31	31	30	31	31	30	30	30	30	31	31	32	32	32	32	31	32	32	31	32	31	31	31	31	31	30	30	30	31	31	32	32	32	32	32	32	32	31	31	30	31	29	30	30	30	30	30	30	31	32	31	32	32	32	32	31	32	32	31
12	-1002092	32	31	32	33	33	33	32	32	32	32	31	31	31	31	31	30	31	31	31	32	32	33	34	34	35	33	33	32	32	32	32	31	31	31	30	30	31	30	32	32	32	32	33	33	32	32	32	32	31	31	31	31	30	31	31	30	31	31	32	32	33	32	32	33
13	-1001599	33	34	34	33	33	33	32	33	32	32	32	30	31	31	31	32	32	33	33	34	33	33	33	32	32	32	32	32	32	31	31	31	31	31	32	32	32	33	33	33	33	33	33	33	32	32	32	32	32	32	31	32	32	32	33	33	33	33	33	32	33	33	33	33
14	-1001107	33	33	33	33	33	33	32	32	32	32	32	31	31	31	31	32	33	33	33	26	34	33	33	33	33	33	32	32	32	32	32	32	31	31	32	32	33	34	33	34	34	34	34	33	33	33	32	32	32	32	32	32	32	32	33	34	34	35	34	34	33	34	34	33
15	-1000615	33	32	32	32	32	32	33	33	34	35	35	35	35	34	34	34	34	33	33	32	32	31	32	32	32	32	33	33	34	35	34	34	32	34	33	33	33	32	32	32	33	32	32	33	32	32	33	34	35	34	34	34	34	33	34	33	33	32	33	32	32	33	32	32
16	-1000123	35	35	34	34	34	33	33	32	33	32	33	32	32	33	33	34	35	34	35	34	34	35	34	34	34	33	33	32	32	32	32	32	33	34	34	34	35	35	34	35	34	34	34	34	34	33	33	33	32	32	32	32	34	34	34	34	35	35	34	34	33	33	33	33
17	-999630	35	35	35	34	35	35	34	34	34	33	33	33	33	32	33	33	34	34	35	35	35	35	35	35	34	34	34	33	34	33	33	33	32	33	33	33	34	35	35	35	35	35	34	34	34	34	34	33	33	33	33	33	34	34	34	34	35	35	35	35	35	35	35	34
18	-999138	35	35	35	34	33	34	33	33	34	33	35	35	36	36	36	36	36	35	36	35	35	34	34	33	34	32	33	33	33	34	35	35	35	35	36	35	35	35	35	35	35	34	34	34	34	33	34	34	34	35	35	35	36	36	35	36	35	35	35	34	34	34	34	33
19	-998646	35	34	35	35	36	36	36	36	36	36	35	35	35	35	34	34	34	34	34	34	34	35	36	36	37	37	37	36	36	35	35	35	34	34	34	34	34	33	34	35	35	36	36	36	36	36	35	36	36	36	35	35	34	34	34	34	34	34	35	35	35	36	36	37
20	-998153	36	36	37	36	36	37	36	36	35	35	35	35	35	34	34	35	35	35	35	36	37	37	37	36	36	37	37	36	35	35	35	35	34	34	35	34	35	35	36	36	37	37	37	37	36	36	36	35	36	35	35	35	34	34	35	35	35	36	36	36	36	36	36	36
21	-997661	37	36	37	36	36	36	35	35	35	35	35	35	35	36	37	37	37	36	36	37	36	36	36	36	35	35	35	34	34	35	35	36	36	37	37	36	37	36	36	37	36	36	35	36	35	35	35	35	35	35	36	36	37	36	37	36	36	37	37	36	36	35	35	35
22	-997169	37	37	36	36	36	35	35	35	36	36	36	36	37	37	38	37	37	38	37	37	37	37	36	37	36	36	36	35	36	36	37	37	37	38	37	37	37	37	37	37	36	36	35	35	35	35	35	36	36	37	37	38	37	37	37	37	37	37	36	36	36	36	35	35
